Report_Date_as_MM_DD_YYYY,NonComm_Pct,Comm_Pct,NonRept_Pct
1986-01-15,0.14211571002477305,0.4407840061209129,0.41710028385431397
1986-01-31,0.1304093381663617,0.44027224232655715,0.4293184195070812
1986-02-14,0.12623767689692494,0.434631159825047,0.43913116327802804
1986-02-28,0.14651845870061234,0.427115984119031,0.4263655571803566
1986-03-14,0.14966214431224495,0.4348542040022278,0.4154836516855272
1986-03-31,0.13865389920302282,0.44126123567665576,0.4200848651203214
1986-04-15,0.13927400234270684,0.44246639168743845,0.4182596059698547
1986-04-30,0.14929098712385167,0.4423930113887445,0.4083160014874039
1986-05-15,0.14860858543978217,0.45273914008683164,0.3986522744733862
1986-05-30,0.1459500719703905,0.44878163930677323,0.40526828872283627
1986-06-13,0.14588035503783525,0.46103360591926656,0.3930860390428982
1986-06-30,0.1321854859533993,0.45373280610333044,0.41408170794327026
1986-07-15,0.13153872889747018,0.4644296141852001,0.40403165691732973
1986-07-31,0.13549033263609925,0.4715033314977195,0.39300633586618133
1986-08-15,0.13167795931228382,0.46798665151423,0.40033538917348616
1986-08-29,0.13838027475617257,0.44940652819352417,0.4122131970503033
1986-09-15,0.1332116109157395,0.5017912491310019,0.36499713995325855
1986-09-30,0.13516402290559054,0.4379212878327897,0.42691468926161974
1986-10-15,0.13549288783240948,0.43708164855361215,0.4274254636139783
1986-10-31,0.13450477259797033,0.45376317047090803,0.4117320569311217
1986-11-14,0.1324293904098552,0.45470687012603783,0.4128637394641069
1986-11-28,0.1295791242458494,0.4616042278061792,0.40881664794797146
1986-12-15,0.1278952278322795,0.45956287136831137,0.4125419007994091
1986-12-31,0.13145988082783974,0.45419196981525006,0.4143481493569103
1987-01-15,0.12496313930400965,0.4550569897070941,0.4199798709888963
1987-01-30,0.13140512032331614,0.4445912526751264,0.42400362700155747
1987-02-13,0.12794614230857776,0.4522509838487997,0.41980287384262255
1987-02-27,0.13595008045035015,0.44153619204192296,0.4225137275077269
1987-03-13,0.1367343542388007,0.43195748531455885,0.43130816044664044
1987-03-31,0.15193965054263284,0.4397970175510298,0.4082633319063374
1987-04-15,0.15405865786088382,0.4250159648837815,0.4209253772553347
1987-04-30,0.14341798015993923,0.41806129754256377,0.438520722297497
1987-05-15,0.13963067903477971,0.42739280552202763,0.4329765154431927
1987-05-29,0.13164620505918065,0.43332943784414074,0.4350243570966785
1987-06-15,0.14389319890205862,0.4257834279016953,0.43032337319624603
1987-06-30,0.14254648681246576,0.4300857234450707,0.4273677897424636
1987-07-15,0.1336702980187379,0.43034250566608073,0.4359871963151814
1987-07-31,0.1351883261435121,0.44960589010742597,0.415205783749062
1987-08-14,0.14010995753326108,0.4404514993963871,0.41943854307035183
1987-08-31,0.14670655244401332,0.4373468764519799,0.41594657110400673
1987-09-15,0.15808580460968108,0.4501990310251107,0.3917151643652082
1987-09-30,0.15374535775117812,0.4356848455617228,0.41056979668709903
1987-10-15,0.16351439257053563,0.4379527057354417,0.39853290169402267
1987-10-30,0.1383610421140797,0.455137970819379,0.4065009870665413
1987-11-13,0.14105368736750076,0.45202086116233325,0.40692545147016596
1987-11-30,0.14074581738978154,0.459715294714638,0.39953888789558045
1987-12-15,0.14021495596488448,0.4526581998003873,0.4071268442347282
1987-12-31,0.14170306082488124,0.4652822484768214,0.39301469069829736
1988-01-15,0.1453585979093249,0.533936706303398,0.32070469578727717
1988-01-29,0.14420786573334235,0.43212597977045664,0.423666154496201
1988-02-12,0.14121993647036124,0.4405051250220421,0.41827493850759667
1988-02-29,0.15138769754722078,0.417341053154673,0.43127124929810623
1988-03-15,0.14390119948110655,0.4422586006314554,0.4138401998874381
1988-03-31,0.15641489891629431,0.4399343549497505,0.40365074613395524
1988-04-15,0.15752607926005505,0.42843039966930946,0.4140435210706355
1988-04-29,0.16444971644480155,0.44337045255715507,0.3921798309980434
1988-05-13,0.1565075195019262,0.4465300641003835,0.39696241639769025
1988-05-31,0.1506663191518476,0.4495773840470708,0.39975629680108155
1988-06-15,0.16085444027305912,0.45237190420816276,0.3867736555187781
1988-06-30,0.16104468947343537,0.4612069254294274,0.3777483850971373
1988-07-15,0.16808523157455968,0.47109901537745913,0.3608157530479812
1988-07-29,0.14777356329934183,0.48980521677107014,0.36242121992958803
1988-08-15,0.1559101812090082,0.4796760045210545,0.36441381426993724
1988-08-31,0.16364909836951838,0.47489034586983003,0.3614605557606516
1988-09-15,0.16863640213361009,0.4646229935697629,0.366740604296627
1988-09-30,0.15577213085074748,0.4598233801833596,0.3844044889658929
1988-10-14,0.15965808986235994,0.4550861502575073,0.38525575988013283
1988-10-31,0.16099392429080062,0.47630741982557007,0.36269865588362926
1988-11-15,0.17110906724460093,0.46302981775534996,0.3658611150000492
1988-11-30,0.16261112928793672,0.46921196401670606,0.3681769066953572
1988-12-15,0.15705238763851215,0.4698685638486961,0.3730790485127917
1988-12-30,0.16635112808391128,0.47447701699346706,0.3591718549226216
1989-01-13,0.17874327010593938,0.4516664693928706,0.36959026050119004
1989-01-31,0.16059194852557035,0.4601665650459089,0.37924148642852074
1989-02-15,0.16434958328808535,0.4562325206311215,0.3794178960807931
1989-02-28,0.16623701426583287,0.4473211049200171,0.3864418808141501
1989-03-15,0.1717080962555455,0.4405899528238271,0.38770195092062737
1989-03-31,0.1629506856578193,0.43893538900926876,0.39811392533291196
1989-04-14,0.17551643768192376,0.4324779698865002,0.39200559243157596
1989-04-28,0.1733332342496239,0.4384901555887009,0.38817661016167515
1989-05-15,0.16787767085821906,0.44427026483477705,0.38785206430700386
